fec_candidate_id,name,party,state,national_party
S6ID00146,"ACHILLES, TODD BAKER",IND,ID,INDEPENDENT
S6TX00578,"ADEFOPE, JOHN",REP,TX,REPUBLICAN PARTY
S6MS00109,"ADLAKHA, SARAH ANNE DR",REP,MS,REPUBLICAN PARTY
S6NC00365,"AGNEW, BROOKS ALEXANDER",REP,NC,REPUBLICAN PARTY
S6LA00706,"ALBARES, NICHOLAS S.",DEM,LA,DEMOCRATIC PARTY
S6ME00308,"ALCALA, NATASHA",DEM,ME,DEMOCRATIC PARTY
S6ME00423,"ALCORN, ETHAN WELD MR",UN,ME,UNAFFILIATED
S6TX00305,"ALLEN, KEITH",REP,TX,REPUBLICAN PARTY
S4TX00722,"ALLRED, COLIN",DEM,TX,DEMOCRATIC PARTY
S6MT00295,"ALME, KURT",REP,MT,REPUBLICAN PARTY
S6TX00370,"ALVAREZ, ANDREW",REP,TX,REPUBLICAN PARTY
S6SC04239,"ANDREWS, ANNIE",DEM,SC,DEMOCRATIC PARTY
S6DE00263,"APPELHANS, JEFFERY RYAN",DEM,DE,DEMOCRATIC PARTY
S6IA00314,"ARENHOLZ, ASHLEY HINSON",REP,IA,REPUBLICAN PARTY
S6UT00287,"ARRINGTON, BRYAN LAMONT SGT.",UN,UT,UNAFFILIATED
S6LA00516,"ARRINGTON, RANDALL STEVEN PHD",REP,LA,REPUBLICAN PARTY
S6LA00524,"ARRINGTON, RANDALL STEVEN PHD",REP,LA,REPUBLICAN PARTY
S6AR00207,"ASHBY, MICAH",REP,AR,REPUBLICAN PARTY
S6FL00749,"ATKINS, JOEY MENDOZA",DEM,FL,DEMOCRATIC PARTY
S6MT00261,"AUSTIN, KYLE",LIB,MT,LIBERTARIAN PARTY
S6NE00178,"AXTELL SCHULTZ, DEBRA LEANNE MS",REP,NE,REPUBLICAN PARTY
S8MA00268,"AYYADURAI, SHIVA DR",IND,MA,INDEPENDENT
S6RI00288,"BAHRY, MICHAEL",IND,RI,INDEPENDENT
S6CO00507,"BAISLEY, MARK",REP,CO,REPUBLICAN PARTY
S6MT00253,"BANKHEAD, ALANI INES",DEM,MT,DEMOCRATIC PARTY
S8FL00323,"BAPTISTE, ASHLEY JEAN",REP,FL,REPUBLICAN PARTY
S6KY00286,"BARR, GARLAND ANDY",REP,KY,REPUBLICAN PARTY
S6GA00317,"BARTELL, ELBERT",IND,GA,INDEPENDENT
S6IL00532,"BARTZIS, PANAGIOTI JOHN MR",REP,IL,REPUBLICAN PARTY
S6SC04262,"BAUER, ANDRE",REP,SC,REPUBLICAN PARTY
S6DE00156,"BEARDSLEY, CHRISTOPHER MR.",DEM,DE,DEMOCRATIC PARTY
S6SD01125,"BEAUDION, JULIAN C",DEM,SD,DEMOCRATIC PARTY
S6MA00270,"BECH, NATHAN ALEXANDER",REP,MA,REPUBLICAN PARTY
S6OK04155,"BECK, WILLIAM EVAN SCOTT",DEM,OK,DEMOCRATIC PARTY
S6ME00456,"BELLOWS, SHENNA",DEM,ME,DEMOCRATIC PARTY
S6WY00258,"BENAVIDEZ, BILLY ARTHUR",DEM,WY,DEMOCRATIC PARTY
S6TX00560,"BENDER, ANNA",REP,TX,REPUBLICAN PARTY
S6SD01117,"BENGS, BRIAN",IND,SD,INDEPENDENT
S6MI00400,"BENHAM, KENT",REP,MI,REPUBLICAN PARTY
S6IL00391,"BENNETT, DOUGLAS",REP,IL,REPUBLICAN PARTY
S6IA00199,"BERMAN, JOHN",REP,IA,REPUBLICAN PARTY
S6OH00312,"BIBLER, BRIAN CHRISTOPHER MR",REP,OH,REPUBLICAN PARTY
S0TX00365,"BIERSCHWALE, VIRGIL",REP,TX,REPUBLICAN PARTY
S6MT00246,"BLACKWOLF, MICHAEL JAMES MR.",DEM,MT,DEMOCRATIC PARTY
S6DE00164,"BLAND, DEXTER",IND,DE,INDEPENDENT
S6MT00287,"BODNAR, SETH",IND,MT,INDEPENDENT
S6ID00179,"BONDS, NICKOLAS",DEM,ID,DEMOCRATIC PARTY
S6KY00385,"BOOKER, CHARLES",DEM,KY,DEMOCRATIC PARTY
S4NJ00185,"BOOKER, CORY A.",DEM,NJ,DEMOCRATIC PARTY
S6IL00656,"BOTSFORD, STEVE",DEM,IL,DEMOCRATIC PARTY
S6GA00267,"BOX, REAGAN",REP,GA,REPUBLICAN PARTY
S4TN00542,"BRADSHAW, MARQUITA",DEM,TN,DEMOCRATIC PARTY
S6MI00558,"BRAGGS, MARNISHA BRECHE",REP,MI,REPUBLICAN PARTY
S0NC00335,"BRAY, SHANNON",LIB,NC,LIBERTARIAN PARTY
S6SC04338,"BRENKUS, JASON ELLIOT",LIB,SC,LIBERTARIAN PARTY
S6PA00357,"BRENNER, GARY DAVID MR JR",DEM,PA,DEMOCRATIC PARTY
S6CO00408,"BRESLIN, KAREN",DEM,CO,DEMOCRATIC PARTY
S6TN00380,"BREWER, MARIA A",DEM,TN,DEMOCRATIC PARTY
S6OH00411,"BREWER, M SUSANNA MRS.",REP,OH,REPUBLICAN PARTY
S6GA00465,"BRIGMAN, BRADLEY",REP,GA,REPUBLICAN PARTY
S6WA00461,"BRISCO, DELBERT EUGENE MR",CON,WA,CONSTITUTION PARTY
S6MN00523,"BROOKS, CHRISTOPHER JARRED",REP,MN,REPUBLICAN PARTY
S6SC04270,"BROWN, BRANDON",DEM,SC,DEMOCRATIC PARTY
S6NC00373,"BROWN, DON",REP,NC,REPUBLICAN PARTY
S6TX00594,"BROWN GAINES, JENNIFER TAWANDA",LBL,TX,LIBERAL PARTY
S6NH00166,"BROWN, SCOTT P.",REP,NH,REPUBLICAN PARTY
S6OH00163,"BROWN, SHERROD",DEM,OH,DEMOCRATIC PARTY
S4TX00888,"BROWN, THEODORE E. JR.",LIB,TX,LIBERTARIAN PARTY
S2SC00145,"BRUCE, CATHERINE FLEMING MS.",DEM,SC,DEMOCRATIC PARTY
S6SC04395,"BUCKNER, DUKE",REP,SC,REPUBLICAN PARTY
S6OK04254,"BUCKNER, WILLIAM SEAN",REP,OK,REPUBLICAN PARTY
S6NE00145,"BURBANK, CINDY",DE,NE,
S6RI00270,"BURBRIDGE, CONNOR",DEM,RI,DEMOCRATIC PARTY
S6LA00607,"BURKE, TRACIE",DEM,LA,DEMOCRATIC PARTY
S6GA00457,"BURTON, MARQUETT DAVON",REP,GA,REPUBLICAN PARTY
S6AL00500,"BURTON, MATTHEW SETH",REP,AL,REPUBLICAN PARTY
S6IL00565,"BUSTOS, AWISI",DEM,IL,DEMOCRATIC PARTY
S6WY00217,"BYRD, JAMES WILLARD MR.",DEM,WY,DEMOCRATIC PARTY
S6TX00420,"CAIN, JOSHUA",IND,TX,INDEPENDENT
S6ME00316,"CALABRESE, CARMEM VINCENT MR.",REP,ME,REPUBLICAN PARTY
S6ME00324,"CALABRESE, CARMEN VINCENT MR.",REP,ME,REPUBLICAN PARTY
S6CO00523,"CALDERON, AMANDA J JILLIAN MRS",REP,CO,REPUBLICAN PARTY
S6MT00329,"CALHOUN, LEE",REP,MT,REPUBLICAN PARTY
S6NJ00354,"CALLAHAN, SAXON",DEM,NJ,DEMOCRATIC PARTY
S6KY00237,"CAMERON, DANIEL",REP,KY,REPUBLICAN PARTY
S6KY00377,"CAMPBELL, CHRISTOPHER TODD",OTH,KY,OTHER
S6TX00545,"CANADY, SARA LARUE",REP,TX,REPUBLICAN PARTY
S4WV00159,"CAPITO, SHELLEY MOORE",REP,WV,REPUBLICAN PARTY
S6GA00358,"CAPPARELL, CHRISTOPHER PAUL",REP,GA,REPUBLICAN PARTY
S6IL00490,"CAPPARELLI, R CARY",REP,IL,REPUBLICAN PARTY
S4NJ00342,"CARDUCCI, NICHOLAS MATTHEW",IND,NJ,INDEPENDENT
S6IA00249,"CARLIN, JAMES",REP,IA,REPUBLICAN PARTY
S6CA01103,"CARLSON, OWEN",DEM,CA,DEMOCRATIC PARTY
S6ME00472,"CARLSON, OWEN NICHOLAS",TX,ME,TAXPAYERS
S6MO00495,"CARLSON, OWEN NICHOLAS",NLP,MO,NATURAL LAW PARTY
S6AR00231,"CARLSON, OWEN NICHOLAS",NON,AR,NON-PARTY
