state,district,rating,source_name,source_url,as_of_date,incumbent_name,incumbent_party,notes
CA,21,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Costa,,Cook listing; incumbent party not inferred
CA,45,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Tran,,Cook listing; incumbent party not inferred
IN,01,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Mrvan,,Cook listing; incumbent party not inferred
MI,08,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,McDonald Rivet,,Cook listing; incumbent party not inferred
MN,02,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Craig),,Cook listing; incumbent party not inferred
NH,01,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Pappas),,Cook listing; incumbent party not inferred
NJ,09,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Pou,,Cook listing; incumbent party not inferred
NV,01,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Titus,,Cook listing; incumbent party not inferred
NV,04,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Horsford,,Cook listing; incumbent party not inferred
NY,19,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Riley,,Cook listing; incumbent party not inferred
OH,13,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Sykes,,Cook listing; incumbent party not inferred
VA,07,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Vindman,,Cook listing; incumbent party not inferred
CA,13,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Gray,,Cook listing; incumbent party not inferred
