state,rating,source_name,source_url,as_of_date,notes
AL,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,OPEN
AK,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Sullivan; Republican-held
AR,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Cotton
CO,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Hickenlooper
DE,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Coons
ID,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Risch
IL,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,OPEN
KS,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Marshall
KY,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,OPEN
LA,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,OPEN
MA,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Markey
MS,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Hyde-Smith
MT,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,OPEN
NE,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Ricketts
NJ,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Booker
NM,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Lujan
OK,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,OPEN
OR,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Merkley
RI,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Reed
SC,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Graham
SD,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Rounds
TN,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Hagerty
VA,Solid Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Warner
WV,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Capito
WY,Solid Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,OPEN
OH,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/senate,2026-08-20,Husted; special election; not regular class
